sequence,move to front,opt,opt free,discrete doa,continuous doa
"1,1,4,0,4,0",15,13,13,14,14
"3,2,0,1,0,0",18,12,12,12,12
"1,0,3,1,1,3",14,12,12,13,13
"0,0,0,3,3,3",9,9,9,9,9
"4,2,3,4,3,2",22,18,20,20,20
"1,4,2,0,1,0",21,14,14,14,14
"0,0,0,1,3,3",10,10,10,10,10
"0,0,0,0,1,1",7,7,7,7,7
"0,0,0,1,2,3",12,12,12,12,12
"0,0,0,2,3,4",15,15,15,15,15
"0,0,2,2,0,3",12,12,12,12,12
"1,0,4,1,2,4",19,16,16,16,17
"2,3,0,2,3,0",19,14,14,16,14
"4,2,1,4,2,1",22,16,18,19,18
"3,4,2,4,1,2",24,19,20,21,21
"3,1,3,1,1,0",15,13,13,14,14
"2,4,0,3,1,0",24,16,16,16,16
"4,1,1,0,0,4",16,14,14,16,14
"0,2,1,1,2,2",11,10,11,11,11
"2,0,0,0,2,2",10,9,9,10,9
"0,0,0,1,1,1",7,7,7,7,7
"0,2,4,3,1,0",24,16,16,16,16
"0,0,1,1,0,3",11,11,11,11,11
"4,1,0,0,4,1",18,14,14,16,14
"4,2,4,1,1,2",19,16,18,18,18
"3,4,0,2,1,0",25,16,16,16,16
"0,4,1,2,4,3",21,19,19,19,20
"3,2,4,1,0,0",24,16,16,16,16
"4,3,2,3,4,2",23,18,21,21,21
"0,0,3,2,0,3",16,13,13,14,14
"4,2,1,1,4,2",20,16,18,19,18
"0,3,1,3,1,1",13,11,12,12,12
"0,0,1,1,0,0",8,8,8,8,8
"0,0,2,2,2,3",11,11,11,11,11
"2,1,2,1,0,1",15,12,12,13,13
"0,0,4,1,2,4",17,15,15,15,16
"0,3,1,2,3,3",16,14,14,15,15
"4,0,3,2,1,0",26,16,16,16,16
"0,0,0,2,3,1",14,12,12,12,12
"4,0,3,1,2,0",25,16,16,16,16
"2,0,3,1,2,0",21,14,14,14,14
"2,3,0,2,0,3",18,14,14,16,14
"0,2,0,0,2,2",10,9,9,10,9
"4,3,2,4,2,3",23,18,21,21,21
"0,0,0,2,0,0",9,8,8,8,8
"4,0,0,1,1,4",15,13,13,15,13
"0,0,2,2,0,0",9,9,9,9,9
"0,0,3,3,0,1",12,12,12,12,12
"4,2,1,4,0,4",22,16,16,16,17
"4,1,2,4,0,2",22,17,17,19,17
"4,3,2,4,3,2",24,18,21,21,21
"0,0,3,1,3,1",13,11,12,12,12
"0,3,2,3,0,2",17,14,15,16,15
"0,4,2,4,0,2",18,15,16,17,16
"1,3,0,2,3,3",17,14,14,15,15
"3,2,3,1,2,2",18,15,16,17,17
"4,3,2,3,2,4",22,18,21,21,21
"2,2,3,0,0,3",14,13,13,14,14
"4,3,0,2,0,1",25,16,16,16,16
"1,3,0,2,3,0",19,14,14,15,15
"0,0,0,2,4,4",12,12,12,12,12
"4,3,0,0,3,4",19,16,17,19,17
"0,3,4,1,2,0",24,16,16,16,16
"0,2,0,0,0,2",10,9,9,10,9
"3,4,0,0,4,3",18,16,16,18,16
"3,0,2,0,0,3",16,13,13,14,14
"0,4,1,1,4,0",15,14,14,15,15
"4,2,3,2,4,3",22,18,20,20,20
"2,1,0,2,1,0",18,12,12,12,12
"4,2,0,2,4,0",20,15,16,18,16
"4,3,4,1,3,1",21,17,19,19,19
"0,0,0,3,2,3",13,12,12,12,12
"0,0,0,3,0,0",10,9,9,9,9
"3,4,1,2,3,4",26,21,21,23,23
"2,1,2,1,1,0",14,12,12,13,13
"2,0,4,3,1,0",24,16,16,16,16
"0,0,1,1,0,4",12,12,12,12,12
"0,0,0,0,0,0",6,6,6,6,6
